class_name,class_abbrev
Acanthodesmia_micropora,Amp
Actinomma_leptoderma_boreale,Alb
Antarctissa_denticulata-cyrindrica,And
Antarctissa_juvenile,Ant
Antarctissa_longa-strelkovi,Ast
Botryocampe_antarctica,Ban
Botryocampe_inflatum-conithorax,Bin
Ceratocyrtis_historicosus,Chs
Cycladophora_bicornis,Cbc
Cycladophora_cornutoides,Cct
Cycladophora_davisiana,Cdv
Diatoms,Dtm
Druppatractus_irregularis-bensoni,Dir
Eucyrtidium_spp,Euc
Fragments,Frg
Larcoids_inner,Lar
Lithocampe_furcaspiculata,Lfu
Lithocampe_platycephala,Lpl
Lithomelissa_setosa-borealis,Lst
Lophophana_spp,Lop
Other_Nassellaria,OthN
Other_Spumellaria,OthS
Phormospyris_stabilis_antarctica,Psa
Phortycium_clevei-pylonium,Ppy
Plectacantha_oikiskos,Poi
Pseudodictyophimus_gracilipes,Pgr
Sethoconus_tablatus,Stb
Siphocampe_arachnea_group,Sar
Spongodiscus,Spo
Spongurus_pylomaticus,Spy
Sylodictya_spp,Sty
Zygocircus,Zyg
