class_name,train_count,val_count,weight
Acanthodesmia_micropora,62,12,0.016129032258064516
Actinomma_leptoderma_boreale,70,14,0.014285714285714285
Antarctissa_denticulata-cyrindrica,211,42,0.004739336492890996
Antarctissa_juvenile,575,114,0.0017391304347826088
Antarctissa_longa-strelkovi,242,48,0.004132231404958678
Botryocampe_antarctica,204,40,0.004901960784313725
Botryocampe_inflatum-conithorax,43,8,0.023255813953488372
Ceratocyrtis_historicosus,52,10,0.019230769230769232
Cycladophora_bicornis,256,51,0.00390625
Cycladophora_cornutoides,183,36,0.00546448087431694
Cycladophora_davisiana,1000,1646,0.001
Diatoms,1000,1852,0.001
Druppatractus_irregularis-bensoni,264,52,0.003787878787878788
Eucyrtidium_spp,34,6,0.029411764705882353
Fragments,1000,4286,0.001
Larcoids_inner,171,34,0.005847953216374269
Lithocampe_furcaspiculata,130,26,0.007692307692307693
Lithocampe_platycephala,75,15,0.013333333333333334
Lithomelissa_setosa-borealis,289,57,0.0034602076124567475
Lophophana_spp,207,41,0.004830917874396135
Other_Nassellaria,162,32,0.006172839506172839
Other_Spumellaria,75,15,0.013333333333333334
Phormospyris_stabilis_antarctica,135,26,0.007407407407407408
Phortycium_clevei-pylonium,198,39,0.005050505050505051
Plectacantha_oikiskos,132,26,0.007575757575757576
Pseudodictyophimus_gracilipes,142,28,0.007042253521126761
Sethoconus_tablatus,27,5,0.037037037037037035
Siphocampe_arachnea_group,30,6,0.03333333333333333
Spongodiscus,944,188,0.001059322033898305
Spongurus_pylomaticus,90,17,0.011111111111111112
Sylodictya_spp,347,69,0.002881844380403458
Zygocircus,168,33,0.005952380952380952
Total,8518,8874,
