class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,100.0,12
Actinomma_leptoderma_boreale,1,85.71428571428571,14
Antarctissa_denticulata-cyrindrica,2,97.61904761904762,42
Antarctissa_juvenile,3,100.0,114
Antarctissa_longa-strelkovi,4,83.33333333333334,48
Botryocampe_antarctica,5,90.0,40
Botryocampe_inflatum-conithorax,6,75.0,8
Ceratocyrtis_historicosus,7,90.0,10
Cycladophora_bicornis,8,96.07843137254902,51
Cycladophora_cornutoides,9,83.33333333333334,36
Cycladophora_davisiana,10,96.17253948967192,1646
Diatoms,11,98.16414686825054,1852
Druppatractus_irregularis-bensoni,12,98.07692307692307,52
Eucyrtidium_spp,13,66.66666666666666,6
Fragments,14,91.88054129724685,4286
Larcoids_inner,15,67.64705882352942,34
Lithocampe_furcaspiculata,16,76.92307692307693,26
Lithocampe_platycephala,17,60.0,15
Lithomelissa_setosa-borealis,18,89.47368421052632,57
Lophophana_spp,19,82.92682926829268,41
Other_Nassellaria,20,40.625,32
Other_Spumellaria,21,53.333333333333336,15
Phormospyris_stabilis_antarctica,22,96.15384615384616,26
Phortycium_clevei-pylonium,23,94.87179487179486,39
Plectacantha_oikiskos,24,88.46153846153845,26
Pseudodictyophimus_gracilipes,25,96.42857142857143,28
Sethoconus_tablatus,26,80.0,5
Siphocampe_arachnea_group,27,100.0,6
Spongodiscus,28,98.93617021276596,188
Spongurus_pylomaticus,29,94.11764705882352,17
Sylodictya_spp,30,100.0,69
Zygocircus,31,93.93939393939394,33
Class-Averaged,-1,86.43366229552504,8874
Overall Top-1,-1,93.8133874239351,8874
