class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,100.0,12
Actinomma_leptoderma_boreale,1,78.57142857142857,14
Antarctissa_denticulata-cyrindrica,2,95.23809523809523,42
Antarctissa_juvenile,3,99.12280701754386,114
Antarctissa_longa-strelkovi,4,87.5,48
Botryocampe_antarctica,5,100.0,40
Botryocampe_inflatum-conithorax,6,62.5,8
Ceratocyrtis_historicosus,7,90.0,10
Cycladophora_bicornis,8,96.07843137254902,51
Cycladophora_cornutoides,9,86.11111111111111,36
Cycladophora_davisiana,10,96.23329283110571,1646
Diatoms,11,97.57019438444925,1852
Druppatractus_irregularis-bensoni,12,96.15384615384616,52
Eucyrtidium_spp,13,66.66666666666666,6
Fragments,14,93.65375641623892,4286
Larcoids_inner,15,79.41176470588235,34
Lithocampe_furcaspiculata,16,84.61538461538461,26
Lithocampe_platycephala,17,46.666666666666664,15
Lithomelissa_setosa-borealis,18,84.21052631578947,57
Lophophana_spp,19,60.97560975609756,41
Other_Nassellaria,20,43.75,32
Other_Spumellaria,21,53.333333333333336,15
Phormospyris_stabilis_antarctica,22,100.0,26
Phortycium_clevei-pylonium,23,89.74358974358975,39
Plectacantha_oikiskos,24,73.07692307692307,26
Pseudodictyophimus_gracilipes,25,96.42857142857143,28
Sethoconus_tablatus,26,60.0,5
Siphocampe_arachnea_group,27,100.0,6
Spongodiscus,28,97.3404255319149,188
Spongurus_pylomaticus,29,94.11764705882352,17
Sylodictya_spp,30,98.55072463768117,69
Zygocircus,31,96.96969696969697,33
Class-Averaged,-1,84.51845292510592,8874
