class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,91.66666666666666,12
Actinomma_leptoderma_boreale,1,71.42857142857143,14
Antarctissa_denticulata-cyrindrica,2,95.23809523809523,42
Antarctissa_juvenile,3,100.0,114
Antarctissa_longa-strelkovi,4,81.25,48
Botryocampe_antarctica,5,100.0,40
Botryocampe_inflatum-conithorax,6,62.5,8
Ceratocyrtis_historicosus,7,90.0,10
Cycladophora_bicornis,8,90.19607843137256,51
Cycladophora_cornutoides,9,94.44444444444444,36
Cycladophora_davisiana,10,95.32199270959903,1646
Diatoms,11,97.67818574514038,1852
Druppatractus_irregularis-bensoni,12,92.3076923076923,52
Eucyrtidium_spp,13,50.0,6
Fragments,14,91.48390107326179,4286
Larcoids_inner,15,79.41176470588235,34
Lithocampe_furcaspiculata,16,80.76923076923077,26
Lithocampe_platycephala,17,86.66666666666667,15
Lithomelissa_setosa-borealis,18,87.71929824561403,57
Lophophana_spp,19,60.97560975609756,41
Other_Nassellaria,20,46.875,32
Other_Spumellaria,21,53.333333333333336,15
Phormospyris_stabilis_antarctica,22,100.0,26
Phortycium_clevei-pylonium,23,100.0,39
Plectacantha_oikiskos,24,76.92307692307693,26
Pseudodictyophimus_gracilipes,25,92.85714285714286,28
Sethoconus_tablatus,26,60.0,5
Siphocampe_arachnea_group,27,83.33333333333334,6
Spongodiscus,28,97.3404255319149,188
Spongurus_pylomaticus,29,100.0,17
Sylodictya_spp,30,100.0,69
Zygocircus,31,96.96969696969697,33
Class-Averaged,-1,84.58406897302605,8874
