class_name,class_id,per_class_acc,num_samples
Acanthodesmia_micropora,0,100.0,12
Actinomma_leptoderma_boreale,1,71.42857142857143,14
Antarctissa_denticulata-cyrindrica,2,97.61904761904762,42
Antarctissa_juvenile,3,100.0,114
Antarctissa_longa-strelkovi,4,93.75,48
Botryocampe_antarctica,5,97.5,40
Botryocampe_inflatum-conithorax,6,75.0,8
Ceratocyrtis_historicosus,7,100.0,10
Cycladophora_bicornis,8,96.07843137254902,51
Cycladophora_cornutoides,9,94.44444444444444,36
Cycladophora_davisiana,10,95.92952612393681,1646
Diatoms,11,97.35421166306696,1852
Druppatractus_irregularis-bensoni,12,92.3076923076923,52
Eucyrtidium_spp,13,66.66666666666666,6
Fragments,14,93.93373775081662,4286
Larcoids_inner,15,79.41176470588235,34
Lithocampe_furcaspiculata,16,80.76923076923077,26
Lithocampe_platycephala,17,60.0,15
Lithomelissa_setosa-borealis,18,87.71929824561403,57
Lophophana_spp,19,70.73170731707317,41
Other_Nassellaria,20,53.125,32
Other_Spumellaria,21,60.0,15
Phormospyris_stabilis_antarctica,22,100.0,26
Phortycium_clevei-pylonium,23,92.3076923076923,39
Plectacantha_oikiskos,24,73.07692307692307,26
Pseudodictyophimus_gracilipes,25,96.42857142857143,28
Sethoconus_tablatus,26,80.0,5
Siphocampe_arachnea_group,27,100.0,6
Spongodiscus,28,99.46808510638297,188
Spongurus_pylomaticus,29,100.0,17
Sylodictya_spp,30,100.0,69
Zygocircus,31,100.0,33
Class-Averaged,-1,87.65783132294257,8874
Overall Top-1,-1,94.7261663286004,8874
